user_id,item,dietary_tags,purchase_date,season
U006,Coconut Milk,"vegan, gluten-free",2024-03-14,Spring
U025,Peanut Butter,"vegetarian, high-protein",2024-03-27,Spring
U034,Apples,"vegan, vegetarian",2024-03-16,Spring
U037,Peanut Butter,"vegetarian, high-protein",2024-04-12,Spring
U031,Kale,"vegan, vegetarian",2024-01-19,Winter
U009,Yogurt,vegetarian,2024-01-15,Winter
U048,Oats,vegetarian,2024-01-17,Winter
U013,Whole Milk,vegetarian,2024-02-26,Winter
U047,Eggs,"vegetarian, high-protein",2024-02-03,Winter
U031,Quinoa,"vegan, gluten-free, high-protein",2024-03-21,Spring
U026,Oats,vegetarian,2024-04-19,Spring
U044,Chicken Breast,high-protein,2024-04-29,Spring
U024,Broccoli,"vegan, vegetarian",2024-01-14,Winter
U026,Almond Milk,"vegan, gluten-free",2024-03-09,Spring
U014,Sweet Potatoes,"vegan, vegetarian",2024-01-22,Winter
U044,Coconut Milk,"vegan, gluten-free",2024-02-06,Winter
U011,Pasta,,2024-03-29,Spring
U046,Tofu,"vegan, vegetarian, high-protein",2024-03-06,Spring
U027,Avocados,"vegan, vegetarian",2024-02-23,Winter
U032,Gluten-Free Bread,"gluten-free, vegetarian",2024-04-13,Spring
U035,Sweet Potatoes,"vegan, vegetarian",2024-03-08,Spring
U005,Soy Milk,"vegan, gluten-free",2024-03-22,Spring
U007,Brown Rice,"vegan, gluten-free",2024-02-14,Winter
U049,Kale,"vegan, vegetarian",2024-02-17,Winter
U031,Broccoli,"vegan, vegetarian",2024-03-03,Spring
U019,Bananas,"vegan, vegetarian",2024-04-25,Spring
U040,Eggs,"vegetarian, high-protein",2024-04-07,Spring
U043,Peanut Butter,"vegetarian, high-protein",2024-02-06,Winter
U002,Zucchini,"vegan, vegetarian",2024-02-24,Winter
U004,Avocados,"vegan, vegetarian",2024-04-14,Spring
U017,Turkey,high-protein,2024-02-11,Winter
U001,Apples,"vegan, vegetarian",2024-02-23,Winter
U002,Yogurt,vegetarian,2024-04-23,Spring
U016,Greek Yogurt,"vegetarian, high-protein",2024-02-05,Winter
U004,Kale,"vegan, vegetarian",2024-03-23,Spring
U019,Rice Cakes,"gluten-free, vegetarian",2024-04-10,Spring
U030,Beef,high-protein,2024-03-15,Spring
U047,Rice Cakes,"gluten-free, vegetarian",2024-03-06,Spring
U003,Coconut Milk,"vegan, gluten-free",2024-01-10,Winter
U016,Whole Milk,vegetarian,2024-01-20,Winter
U022,Tofu,"vegan, vegetarian, high-protein",2024-01-12,Winter
U032,Greek Yogurt,"vegetarian, high-protein",2024-03-27,Spring
U030,Broccoli,"vegan, vegetarian",2024-01-04,Winter
U010,Chicken Breast,high-protein,2024-03-21,Spring
U022,Sweet Potatoes,"vegan, vegetarian",2024-03-24,Spring
U034,Whole Milk,vegetarian,2024-02-01,Winter
U045,Whole Milk,vegetarian,2024-02-03,Winter
U046,Yogurt,vegetarian,2024-03-21,Spring
U031,Coconut Milk,"vegan, gluten-free",2024-03-28,Spring
U039,Rice Cakes,"gluten-free, vegetarian",2024-03-31,Spring
U041,Whole Milk,vegetarian,2024-04-19,Spring
U028,Beef,high-protein,2024-03-24,Spring
U020,Almond Milk,"vegan, gluten-free",2024-04-01,Spring
U004,Apples,"vegan, vegetarian",2024-02-27,Winter
U030,Chicken Breast,high-protein,2024-02-20,Winter
U035,Almond Milk,"vegan, gluten-free",2024-02-14,Winter
U021,Turkey,high-protein,2024-03-10,Spring
U033,Whole Milk,vegetarian,2024-01-04,Winter
U007,Peanut Butter,"vegetarian, high-protein",2024-01-03,Winter
U025,Bananas,"vegan, vegetarian",2024-03-11,Spring
U007,Quinoa,"vegan, gluten-free, high-protein",2024-03-02,Spring
U047,Beef,high-protein,2024-01-25,Winter
U018,Eggs,"vegetarian, high-protein",2024-03-16,Spring
U024,Yogurt,vegetarian,2024-02-14,Winter
U044,Broccoli,"vegan, vegetarian",2024-01-16,Winter
U045,Chicken Breast,high-protein,2024-02-11,Winter
U026,Avocados,"vegan, vegetarian",2024-02-09,Winter
U049,Spinach,"vegan, vegetarian",2024-04-17,Spring
U027,Greek Yogurt,"vegetarian, high-protein",2024-03-28,Spring
U009,Bananas,"vegan, vegetarian",2024-03-09,Spring
U029,Eggs,"vegetarian, high-protein",2024-01-05,Winter
U014,Bananas,"vegan, vegetarian",2024-02-16,Winter
U034,Quinoa,"vegan, gluten-free, high-protein",2024-04-18,Spring
U015,Soy Milk,"vegan, gluten-free",2024-03-11,Spring
U002,Avocados,"vegan, vegetarian",2024-01-14,Winter
U011,Kale,"vegan, vegetarian",2024-02-17,Winter
U008,Zucchini,"vegan, vegetarian",2024-03-29,Spring
U044,Apples,"vegan, vegetarian",2024-03-29,Spring
U045,Whole Milk,vegetarian,2024-02-19,Winter
U020,Broccoli,"vegan, vegetarian",2024-02-04,Winter
U006,Salmon,high-protein,2024-03-09,Spring
U049,Whole Milk,vegetarian,2024-02-17,Winter
U038,Greek Yogurt,"vegetarian, high-protein",2024-01-19,Winter
U035,Rice Cakes,"gluten-free, vegetarian",2024-02-04,Winter
U048,Oats,vegetarian,2024-03-17,Spring
U043,Broccoli,"vegan, vegetarian",2024-01-16,Winter
U042,Zucchini,"vegan, vegetarian",2024-02-27,Winter
U005,Beef,high-protein,2024-04-07,Spring
U019,Brown Rice,"vegan, gluten-free",2024-01-23,Winter
U044,Apples,"vegan, vegetarian",2024-04-03,Spring
U048,Yogurt,vegetarian,2024-04-03,Spring
U012,Greek Yogurt,"vegetarian, high-protein",2024-04-16,Spring
U017,Sweet Potatoes,"vegan, vegetarian",2024-01-12,Winter
U003,Brown Rice,"vegan, gluten-free",2024-04-21,Spring
U016,Salmon,high-protein,2024-04-09,Spring
U043,Tofu,"vegan, vegetarian, high-protein",2024-04-28,Spring
U042,Coconut Milk,"vegan, gluten-free",2024-03-05,Spring
U032,Spinach,"vegan, vegetarian",2024-03-28,Spring
U027,Tofu,"vegan, vegetarian, high-protein",2024-04-08,Spring
U023,Spinach,"vegan, vegetarian",2024-03-20,Spring
U010,Pasta,,2024-02-11,Winter
U032,Almond Milk,"vegan, gluten-free",2024-01-04,Winter
U033,Chicken Breast,high-protein,2024-04-14,Spring
U030,Chicken Breast,high-protein,2024-04-09,Spring
U006,Oats,vegetarian,2024-02-10,Winter
U008,Rice Cakes,"gluten-free, vegetarian",2024-02-05,Winter
U018,Yogurt,vegetarian,2024-02-18,Winter
U002,Pasta,,2024-02-02,Winter
U050,Gluten-Free Bread,"gluten-free, vegetarian",2024-02-04,Winter
U040,Kale,"vegan, vegetarian",2024-03-16,Spring
U002,Brown Rice,"vegan, gluten-free",2024-04-01,Spring
U043,Rice Cakes,"gluten-free, vegetarian",2024-04-17,Spring
U029,Broccoli,"vegan, vegetarian",2024-01-19,Winter
U001,Peanut Butter,"vegetarian, high-protein",2024-01-28,Winter
U011,Oats,vegetarian,2024-03-31,Spring
U034,Almond Milk,"vegan, gluten-free",2024-03-19,Spring
U004,Eggs,"vegetarian, high-protein",2024-03-25,Spring
U009,Kale,"vegan, vegetarian",2024-04-19,Spring
U003,Oats,vegetarian,2024-01-26,Winter
U048,Spinach,"vegan, vegetarian",2024-03-10,Spring
U015,Salmon,high-protein,2024-02-20,Winter
U014,Turkey,high-protein,2024-04-03,Spring
U028,Cheese,vegetarian,2024-03-15,Spring
U012,Apples,"vegan, vegetarian",2024-03-22,Spring
U037,Gluten-Free Bread,"gluten-free, vegetarian",2024-01-24,Winter
U027,Eggs,"vegetarian, high-protein",2024-03-03,Spring
U050,Coconut Milk,"vegan, gluten-free",2024-03-26,Spring
U009,Carrots,"vegan, vegetarian",2024-02-05,Winter
U010,Greek Yogurt,"vegetarian, high-protein",2024-04-27,Spring
U015,Quinoa,"vegan, gluten-free, high-protein",2024-02-07,Winter
U030,Apples,"vegan, vegetarian",2024-02-29,Winter
U029,Oats,vegetarian,2024-03-01,Spring
U009,Bananas,"vegan, vegetarian",2024-04-21,Spring
U050,Carrots,"vegan, vegetarian",2024-03-14,Spring
U044,Carrots,"vegan, vegetarian",2024-01-31,Winter
U046,Whole Milk,vegetarian,2024-03-18,Spring
U002,Zucchini,"vegan, vegetarian",2024-04-13,Spring
U039,Bananas,"vegan, vegetarian",2024-02-17,Winter
U024,Avocados,"vegan, vegetarian",2024-04-28,Spring
U015,Turkey,high-protein,2024-02-29,Winter
U005,Lentils,"vegan, vegetarian, high-protein",2024-02-04,Winter
U036,Apples,"vegan, vegetarian",2024-01-12,Winter
U037,Turkey,high-protein,2024-03-30,Spring
U014,Chicken Breast,high-protein,2024-02-28,Winter
U036,Yogurt,vegetarian,2024-03-09,Spring
U017,Kale,"vegan, vegetarian",2024-01-03,Winter
U039,Almond Milk,"vegan, gluten-free",2024-01-29,Winter
U007,Broccoli,"vegan, vegetarian",2024-01-03,Winter
U021,Spinach,"vegan, vegetarian",2024-01-19,Winter
U033,Whole Milk,vegetarian,2024-04-19,Spring
U042,Rice Cakes,"gluten-free, vegetarian",2024-04-22,Spring
U033,Almond Milk,"vegan, gluten-free",2024-01-27,Winter
U022,Apples,"vegan, vegetarian",2024-02-20,Winter
U013,Quinoa,"vegan, gluten-free, high-protein",2024-01-17,Winter
U005,Turkey,high-protein,2024-03-07,Spring
U036,Gluten-Free Bread,"gluten-free, vegetarian",2024-01-05,Winter
U012,Quinoa,"vegan, gluten-free, high-protein",2024-01-19,Winter
U037,Beef,high-protein,2024-02-12,Winter
U026,Avocados,"vegan, vegetarian",2024-03-23,Spring
U036,Brown Rice,"vegan, gluten-free",2024-03-14,Spring
U011,Tofu,"vegan, vegetarian, high-protein",2024-02-05,Winter
U007,Yogurt,vegetarian,2024-02-01,Winter
U030,Avocados,"vegan, vegetarian",2024-04-03,Spring
U020,Whole Milk,vegetarian,2024-02-16,Winter
U050,Lentils,"vegan, vegetarian, high-protein",2024-04-11,Spring
U030,Spinach,"vegan, vegetarian",2024-02-23,Winter
U041,Whole Milk,vegetarian,2024-01-15,Winter
U014,Lentils,"vegan, vegetarian, high-protein",2024-01-26,Winter
U021,Zucchini,"vegan, vegetarian",2024-03-27,Spring
U032,Whole Milk,vegetarian,2024-02-23,Winter
U047,Soy Milk,"vegan, gluten-free",2024-04-05,Spring
U023,Peanut Butter,"vegetarian, high-protein",2024-04-22,Spring
U017,Gluten-Free Bread,"gluten-free, vegetarian",2024-03-02,Spring
U029,Carrots,"vegan, vegetarian",2024-02-25,Winter
U006,Chicken Breast,high-protein,2024-02-22,Winter
U027,Lentils,"vegan, vegetarian, high-protein",2024-02-04,Winter
U042,Oats,vegetarian,2024-04-08,Spring
U014,Chicken Breast,high-protein,2024-04-17,Spring
U040,Pasta,,2024-04-30,Spring
U004,Almond Milk,"vegan, gluten-free",2024-04-07,Spring
U018,Greek Yogurt,"vegetarian, high-protein",2024-01-11,Winter
U038,Carrots,"vegan, vegetarian",2024-03-27,Spring
U028,Almond Milk,"vegan, gluten-free",2024-02-15,Winter
U032,Broccoli,"vegan, vegetarian",2024-04-01,Spring
U047,Sweet Potatoes,"vegan, vegetarian",2024-04-19,Spring
U025,Carrots,"vegan, vegetarian",2024-03-27,Spring
U035,Zucchini,"vegan, vegetarian",2024-01-16,Winter
U012,Apples,"vegan, vegetarian",2024-02-17,Winter
U034,Bananas,"vegan, vegetarian",2024-03-21,Spring
U011,Apples,"vegan, vegetarian",2024-03-26,Spring
U030,Peanut Butter,"vegetarian, high-protein",2024-04-25,Spring
U047,Avocados,"vegan, vegetarian",2024-03-12,Spring
U007,Salmon,high-protein,2024-01-16,Winter
U047,Brown Rice,"vegan, gluten-free",2024-02-13,Winter
U016,Pasta,,2024-02-03,Winter
U042,Broccoli,"vegan, vegetarian",2024-03-21,Spring
U005,Carrots,"vegan, vegetarian",2024-01-31,Winter
U027,Sweet Potatoes,"vegan, vegetarian",2024-03-01,Spring
U019,Greek Yogurt,"vegetarian, high-protein",2024-02-11,Winter
U013,Almond Milk,"vegan, gluten-free",2024-03-07,Spring
U046,Soy Milk,"vegan, gluten-free",2024-04-13,Spring
U030,Soy Milk,"vegan, gluten-free",2024-01-27,Winter
U048,Whole Milk,vegetarian,2024-03-07,Spring
U037,Salmon,high-protein,2024-03-18,Spring
U014,Tofu,"vegan, vegetarian, high-protein",2024-01-10,Winter
U008,Quinoa,"vegan, gluten-free, high-protein",2024-03-10,Spring
U050,Greek Yogurt,"vegetarian, high-protein",2024-04-30,Spring
U044,Spinach,"vegan, vegetarian",2024-03-02,Spring
U015,Quinoa,"vegan, gluten-free, high-protein",2024-04-10,Spring
U030,Cheese,vegetarian,2024-01-27,Winter
U013,Oats,vegetarian,2024-02-02,Winter
U018,Kale,"vegan, vegetarian",2024-02-10,Winter
U001,Lentils,"vegan, vegetarian, high-protein",2024-02-02,Winter
U036,Whole Milk,vegetarian,2024-04-11,Spring
U007,Lentils,"vegan, vegetarian, high-protein",2024-01-03,Winter
U003,Turkey,high-protein,2024-04-15,Spring
U043,Cheese,vegetarian,2024-03-31,Spring
U002,Gluten-Free Bread,"gluten-free, vegetarian",2024-03-30,Spring
U042,Bananas,"vegan, vegetarian",2024-01-04,Winter
U036,Chicken Breast,high-protein,2024-01-24,Winter
U023,Yogurt,vegetarian,2024-03-18,Spring
U022,Lentils,"vegan, vegetarian, high-protein",2024-01-20,Winter
U004,Tofu,"vegan, vegetarian, high-protein",2024-02-07,Winter
U003,Eggs,"vegetarian, high-protein",2024-01-01,Winter
U013,Pasta,,2024-02-02,Winter
U003,Cheese,vegetarian,2024-04-22,Spring
U030,Quinoa,"vegan, gluten-free, high-protein",2024-03-14,Spring
U006,Eggs,"vegetarian, high-protein",2024-02-21,Winter
U014,Bananas,"vegan, vegetarian",2024-02-29,Winter
U025,Soy Milk,"vegan, gluten-free",2024-02-12,Winter
U012,Avocados,"vegan, vegetarian",2024-04-26,Spring
U006,Oats,vegetarian,2024-03-31,Spring
U025,Carrots,"vegan, vegetarian",2024-02-29,Winter
U047,Zucchini,"vegan, vegetarian",2024-03-31,Spring
U016,Brown Rice,"vegan, gluten-free",2024-04-21,Spring
U034,Lentils,"vegan, vegetarian, high-protein",2024-04-22,Spring
U023,Cheese,vegetarian,2024-04-19,Spring
U040,Avocados,"vegan, vegetarian",2024-02-07,Winter
U049,Brown Rice,"vegan, gluten-free",2024-04-12,Spring
U035,Soy Milk,"vegan, gluten-free",2024-01-05,Winter
U026,Brown Rice,"vegan, gluten-free",2024-01-01,Winter
U019,Brown Rice,"vegan, gluten-free",2024-02-02,Winter
U040,Cheese,vegetarian,2024-03-31,Spring
U012,Beef,high-protein,2024-03-30,Spring
U042,Greek Yogurt,"vegetarian, high-protein",2024-02-13,Winter
U019,Avocados,"vegan, vegetarian",2024-02-18,Winter
U029,Coconut Milk,"vegan, gluten-free",2024-01-09,Winter
